strideIndex,timestamp,gcpX,gcpY
4.690000000000000000e+02,2.350038542000000064e+00,-3.264050935380000129e-02,1.020300206739999929e-03
7.490000000000000000e+02,3.749965363999999912e+00,3.685448172490000118e-01,-6.959580379639999093e-01
1.019000000000000000e+03,5.100014368000000076e+00,1.113144286429999852e+00,-1.036566042760000000e-01
1.289000000000000000e+03,6.449806579999999734e+00,1.424223776820000120e+00,1.013160677610000171e+00
1.579000000000000000e+03,7.899796766999999775e+00,6.540979203950000320e-01,1.705528866470000127e+00
1.859000000000000000e+03,9.299770987000000488e+00,-5.019333325299999427e-01,1.614027561800000177e+00
2.134000000000000000e+03,1.067496167900000081e+01,-1.404483982649999962e+00,1.043306051670000123e+00
2.394000000000000000e+03,1.197496117700000084e+01,-1.666416621920000063e+00,1.038814838759999923e-03
2.669000000000000000e+03,1.334987471900000067e+01,-8.139844823590000056e-01,-6.714172522640000640e-01
2.949000000000000000e+03,1.474979769800000007e+01,2.508626902659999991e-01,-4.865150295160000082e-01
3.239000000000000000e+03,1.619974313000000166e+01,1.102313356000000022e+00,4.039431964469999969e-01
3.524000000000000000e+03,1.762487849600000089e+01,1.002157853489999972e+00,1.407347487020000232e+00
3.819000000000000000e+03,1.909976119299999908e+01,-1.203128295020000071e-01,1.690077293839999939e+00
4.084000000000000000e+03,2.042487650099999996e+01,-1.182058014200000118e+00,1.138564281200000083e+00
4.369000000000000000e+03,2.184986410999999862e+01,-1.575831752010000031e+00,1.237362089980000024e-01
4.649000000000000000e+03,2.324963272500000144e+01,-9.531940044540000434e-01,-7.259209750509999504e-01
4.929000000000000000e+03,2.464964852499999992e+01,1.318430706139999964e-01,-7.367709102039999847e-01
5.209000000000000000e+03,2.604979864499999920e+01,1.006920622220000006e+00,1.036850354740000008e-01
5.489000000000000000e+03,2.744956250199999914e+01,1.193743561970000089e+00,1.232239712320000180e+00
5.794000000000000000e+03,2.897482362699999925e+01,2.636718350539999922e-01,1.769311538720000021e+00
6.084000000000000000e+03,3.042462153199999975e+01,-2.080858450380000113e-01,8.311618691019999616e-01
6.752000000000000000e+03,3.376468687700000260e+01,-1.955064648359999824e-02,7.527513343629999888e-03
