displacement,heading_change
6.515018237572487436e-01,-2.663035501496611612e+00
1.162027320950766329e+00,2.432780922325008977e+00
1.198167223965187711e+00,1.007482491931075419e+00
1.689000191515542593e+00,-1.982960378199786489e-01
1.568564170318983431e+00,-1.386558896019510101e+00
1.505057497541417932e+00,-2.914167519293334507e+00
1.702785753525065893e+00,2.187994867694073697e+00
1.392055463414592742e+00,8.553754333454959280e-01
1.567508509534329075e+00,-3.640515298960382840e-01
1.563361576014170362e+00,-1.424693179809167098e+00
1.318942225221959808e+00,-2.709178689972277621e+00
1.070213747410258431e+00,1.691041221225321634e+00
