displacement,heading_change
6.342298641822450289e-01,-3.133800397088925216e+00
1.640317647566722270e+00,-3.088749055995223980e+00
1.654038761059068108e+00,-3.093438978714238452e+00
1.387375071080864330e+00,-3.101601544203358429e+00
1.622544301836937430e+00,-3.116163108217495648e+00
1.290715913531721659e+00,-3.070240321015260676e+00
1.660896336048071076e+00,-3.082509060183956429e+00
1.310771616170252507e+00,2.699222130978919498e+00
1.281771759716993975e+00,1.050956889609885536e+00
1.597870718299491122e+00,1.183288642612420893e-01
1.325965770541876809e+00,3.081597345631043039e-02
1.543793489068894020e+00,5.455521793115698792e-02
1.287566111007008907e+00,1.100888164644546890e-01
1.607494201648737464e+00,5.911364939369998656e-02
1.391949236141083457e+00,5.753341625473172571e-02
1.588061045519892245e+00,1.576898047225364086e-01
1.306588947488802610e+00,-1.007415267673568593e+00
1.244287390443691521e+00,-2.920139372808644662e+00
1.655115155005892902e+00,-3.111162700856124896e+00
1.734172005187315291e+00,-3.070359157956503715e+00
1.698839461673994133e+00,-3.062010754351353725e+00
1.385230193064961313e+00,-3.060984560154713652e+00
1.663439973603475952e+00,-3.018311065715437280e+00
1.266145889639504807e+00,-3.082674098325472123e+00
1.330375599823476751e+00,2.892576109352037683e+00
1.563182846166902840e+00,-3.106992035462391666e+00
1.362109279755405078e+00,-3.096276270604422010e+00
1.541593543385754828e+00,-3.020570810018602170e+00
1.317029398833039489e+00,-2.943816677219960987e+00
1.182165910929958930e+00,-3.070192922304125993e+00
7.492980783632485764e-01,-1.406087507491053490e+00
1.322903847806508493e+00,-1.603046974842882166e-01
1.190910806807711886e+00,1.104932670452906385e-01
