strideIndex,timestamp,gcpX,gcpY
4.630000000000000000e+02,2.315010309000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.560000000000000000e+02,3.280010223000000114e+00,-6.605247118505894743e-01,3.860467653467593574e-01
9.150000000000000000e+02,4.574995517999999706e+00,-1.840153693254086287e+00,1.302116886152448583e+00
1.148000000000000000e+03,5.739990233999999525e+00,-3.102504715110740552e+00,1.877684343204582884e+00
1.379000000000000000e+03,6.895001887999999468e+00,-4.322398241979698241e+00,2.554481050571879130e+00
1.614000000000000000e+03,8.070020676000000392e+00,-5.450457821227435495e+00,3.291862624566930684e+00
1.830000000000000000e+03,9.149935722000000382e+00,-6.638292498629588145e+00,3.913693613792236903e+00
2.065000000000000000e+03,1.032474232000000036e+01,-7.813658854260635778e+00,4.628468354567672804e+00
2.305000000000000000e+03,1.152459334999999996e+01,-8.898767673192232053e+00,5.467949057786559486e+00
2.537000000000000000e+03,1.268449687999999931e+01,-1.003147328555681916e+01,6.184973461637477854e+00
2.780000000000000000e+03,1.389937877999999927e+01,-1.123814883261666786e+01,6.540438121101417757e+00
3.006000000000000000e+03,1.502928256999999945e+01,-1.227771475563764092e+01,6.022873930209547311e+00
3.248000000000000000e+03,1.623919486999999862e+01,-1.349132267563129339e+01,6.374222498626550326e+00
3.487000000000000000e+03,1.743412398999999979e+01,-1.367234679308648992e+01,7.666693105216722870e+00
3.724000000000000000e+03,1.861907387000000114e+01,-1.438711030977345473e+01,8.626100273843933408e+00
3.954000000000000000e+03,1.976906394999999961e+01,-1.550633780825655172e+01,9.318238126182086134e+00
4.184000000000000000e+03,2.091903877000000023e+01,-1.664520592646479358e+01,9.985876058993591542e+00
4.415000000000000000e+03,2.207400703000000064e+01,-1.779783877872212017e+01,1.069005892437526306e+01
4.646000000000000000e+03,2.322896576000000124e+01,-1.896802593452468599e+01,1.126394656180501741e+01
4.883000000000000000e+03,2.441394423999999930e+01,-2.018527349240688906e+01,1.136559980980923967e+01
5.120000000000000000e+03,2.559892463999999990e+01,-2.151786838678007285e+01,1.142804856872820274e+01
5.343000000000000000e+03,2.671391868999999986e+01,-2.231447047748318369e+01,1.249249119709642031e+01
5.584000000000000000e+03,2.791892814999999928e+01,-2.292999104821637246e+01,1.356001329382523757e+01
5.819000000000000000e+03,2.909392738000000023e+01,-2.398046805769661560e+01,1.431662881874753523e+01
6.047000000000000000e+03,3.023390769999999961e+01,-2.518020443805848885e+01,1.489922526366991562e+01
6.285000000000000000e+03,3.142388916000000165e+01,-2.634694535808574400e+01,1.555622802282237771e+01
6.510000000000000000e+03,3.254887389999999669e+01,-2.750030817605003008e+01,1.614356711579803871e+01
6.739000000000000000e+03,3.369386292000000083e+01,-2.873471338708546696e+01,1.618252574730074045e+01
6.976000000000000000e+03,3.487888336000000322e+01,-3.007678373139970773e+01,1.607216184508512313e+01
7.209000000000000000e+03,3.604389572000000186e+01,-3.083990711484564073e+01,1.717739878874834858e+01
7.453000000000000000e+03,3.726390838999999744e+01,-3.098788585217713987e+01,1.841664343501388146e+01
7.682000000000000000e+03,3.840891647000000120e+01,-2.979365145183171038e+01,1.886029780164582093e+01
7.915000000000000000e+03,3.957379532000000211e+01,-2.851460938381469390e+01,1.833849286851204852e+01
8.146000000000000000e+03,4.072862244000000231e+01,-2.733737320333010956e+01,1.777095434527502249e+01
8.383000000000000000e+03,4.191346741000000264e+01,-2.642264077410853318e+01,1.684185285300929635e+01
8.603000000000000000e+03,4.301334381000000207e+01,-2.548395823200163690e+01,1.609689910602648055e+01
8.825000000000000000e+03,4.412323760999999678e+01,-2.423537177195370163e+01,1.585791824531801275e+01
9.055000000000000000e+03,4.527317429000000004e+01,-2.290814303023880427e+01,1.539270875791916637e+01
9.283000000000000000e+03,4.641311264000000136e+01,-2.171999507433347532e+01,1.475115717396196935e+01
9.503000000000000000e+03,4.751305389000000190e+01,-2.050754382565645884e+01,1.411191858815730527e+01
9.738000000000000000e+03,4.868799973000000136e+01,-1.933554033391189009e+01,1.340134993184144108e+01
9.967000000000000000e+03,4.983295059000000293e+01,-1.826985547113869757e+01,1.258437944690573218e+01
1.019100000000000000e+04,5.095291138000000331e+01,-1.715108795812466269e+01,1.180628353262241603e+01
1.041400000000000000e+04,5.206789016999999831e+01,-1.597795462563940738e+01,1.109162544359519842e+01
1.063600000000000000e+04,5.317788314999999955e+01,-1.475384499590498777e+01,1.045267347795812896e+01
1.087400000000000000e+04,5.436787796000000128e+01,-1.354465999617801231e+01,9.750910244071322452e+00
1.109600000000000000e+04,5.547785567999999756e+01,-1.235688865385291280e+01,9.110721804351245012e+00
1.132900000000000000e+04,5.664282227000000347e+01,-1.118299207580131061e+01,8.427819304693542790e+00
1.156100000000000000e+04,5.780280685000000318e+01,-1.000116657575312473e+01,7.785254531743875717e+00
1.178400000000000000e+04,5.891778564999999901e+01,-8.689072333848235630e+00,7.433239332696961910e+00
1.201600000000000000e+04,6.007779312000000260e+01,-7.500271162600972374e+00,6.744184345601495600e+00
1.224200000000000000e+04,6.120779037999999872e+01,-6.323584960998081428e+00,6.080392523599021715e+00
1.247300000000000000e+04,6.236279677999999649e+01,-5.138343280392256851e+00,5.417497238840805807e+00
1.270100000000000000e+04,6.350277329000000037e+01,-3.993609294913843755e+00,4.776422280282361044e+00
1.294200000000000000e+04,6.470776367000000562e+01,-2.828374829207503272e+00,4.124872098078366633e+00
1.318200000000000000e+04,6.590776062000000479e+01,-1.695425894940596034e+00,3.446795618362783031e+00
1.342500000000000000e+04,6.712276459000000273e+01,-5.075445223910828307e-01,2.885866171150493820e+00
1.368100000000000000e+04,6.840280914000000223e+01,6.054871903889744722e-01,2.229430030809414376e+00
1.399900000000000000e+04,6.999267577999999901e+01,5.096430961016705785e-01,9.433620273234997189e-01
