t,ax,ay,az,wx,wy,wz,zv
5.130459999999999882e-03,-2.510075818259999814e+00,1.775667172360000101e-01,-9.461722463850000153e+00,-4.863602574909999671e-03,-1.704851910470000023e-02,-8.863981347530000381e-04,1.000000000000000000e+00
1.011819299999999928e-02,-2.543327807259999851e+00,1.702483205139999900e-01,-9.493138761860000940e+00,1.302026025949999839e-02,-1.012923568489999988e-02,-1.037242123860000016e-03,1.000000000000000000e+00
1.517274700000000032e-02,-2.523539987729999989e+00,1.632978437890000023e-01,-9.471615496839998372e+00,7.539912592620000124e-03,-7.854897528890000813e-03,-1.130337733779999965e-02,1.000000000000000000e+00
2.022175600000000045e-02,-2.585552791790000082e+00,1.764668297030000110e-01,-9.463261509989999709e+00,6.109556998130001321e-04,-3.301497315989999817e-03,8.338596671820000875e-03,1.000000000000000000e+00
2.524397600000000130e-02,-2.525657710539999989e+00,1.783743803570000119e-01,-9.505863218869999187e+00,-1.365770352999999982e-03,8.964521810409999125e-03,1.204044930639999907e-02,1.000000000000000000e+00
3.024771999999999877e-02,-2.489756083809999687e+00,1.585116506919999890e-01,-9.459539859119999505e+00,7.624623831360000450e-03,-1.125185471029999974e-02,3.438208485019999747e-03,1.000000000000000000e+00
3.505710799999999655e-02,-2.501370826020000049e+00,1.786277705959999906e-01,-9.489449844210000151e+00,-1.087532285599999982e-02,9.046657942239999181e-03,-2.107872813940000339e-02,1.000000000000000000e+00
4.026688400000000279e-02,-2.550872231290000069e+00,1.656753683090000095e-01,-9.459385545339999979e+00,1.169383060189999914e-02,2.274705283340000203e-02,-2.116875490169999909e-03,1.000000000000000000e+00
4.525845600000000246e-02,-2.510229839780000027e+00,1.846754167300000138e-01,-9.466443647160000197e+00,3.613469190899999597e-03,1.232181675729999894e-04,-8.005339652299998943e-03,1.000000000000000000e+00
5.034657299999999863e-02,-2.513552262200000165e+00,1.191434255680000054e-01,-9.477973341429999365e+00,-9.718433022499998672e-03,6.377477198840000340e-03,-1.092507224530000001e-02,1.000000000000000000e+00
5.513247400000000076e-02,-2.573405257879999741e+00,1.299829912869999993e-01,-9.470341239119999699e+00,3.860230557619999739e-03,2.189535181969999664e-03,7.011459209020000360e-03,1.000000000000000000e+00
6.028623599999999999e-02,-2.559636260250000017e+00,1.276696454440000017e-01,-9.468711592089999129e+00,-1.096237637099999919e-02,-1.048768870529999918e-02,1.059150602670000212e-02,1.000000000000000000e+00
6.528652000000000066e-02,-2.527979723740000129e+00,1.274862060349999937e-01,-9.479020804660001076e+00,-1.360732316969999987e-02,2.316592726860000270e-03,1.143503189089999962e-02,1.000000000000000000e+00
7.035561599999999582e-02,-2.523041975079999943e+00,1.453989250099999853e-01,-9.484179210329999776e+00,1.570609631020000079e-03,5.562385544180000092e-03,-6.570016033949999633e-03,1.000000000000000000e+00
7.527303300000000308e-02,-2.528182845099999909e+00,1.454297768059999996e-01,-9.458316454800000272e+00,2.653952687980000013e-03,2.125504612920000105e-02,5.537648685279999462e-03,1.000000000000000000e+00
8.030650200000000183e-02,-2.512850251409999736e+00,1.240120727840000048e-01,-9.462678741659999559e+00,-4.534630104899999709e-03,-3.879433497790000032e-03,5.371788516640000483e-03,1.000000000000000000e+00
8.506132299999999424e-02,-2.527085112990000049e+00,1.667753471739999993e-01,-9.475673832320000045e+00,-3.769927192479999994e-03,2.262621186670000367e-02,4.869706928729999711e-03,1.000000000000000000e+00
9.027129899999999929e-02,-2.523705115159999846e+00,1.381102475730000001e-01,-9.490856203879999953e+00,1.471712253989999842e-03,1.596749387679999993e-02,5.555793177339999733e-04,1.000000000000000000e+00
9.518274899999999705e-02,-2.531098732549999841e+00,1.654277867560000059e-01,-9.492468315249999122e+00,1.091245329010000036e-03,-8.487945888189998974e-04,3.892176086079999695e-03,1.000000000000000000e+00
1.001547639999999934e-01,-2.527649761140000173e+00,1.667707805969999846e-01,-9.480165883039999741e+00,-1.141931861640000127e-03,-1.217057835310000023e-02,-1.211489434350000033e-03,1.000000000000000000e+00
